Gene	Name	Chr	Strand	Start	End	HNT_8A8G_Rep1	HNT_8A8G_Rep2	HBG1_8A8G_Rep1	HBG1_8A8G_Rep2	HBG1_WT
RNR1	RNR1	M	+	648	1601	0.0	0.0	0.0	0.0	0.0
NBPF8	NBPF8	1	+	120415027	120469670	6.316000	6.350676	9.506900	9.782630	8.434324
PRKAR2A-AS1	PRKAR2A-AS1	3	+	48847937	48851982	1.251725	0.696968	0.652050	1.960193	0.711206
TEMN3-AS1	TEMN3-AS1	4	-	181820005	181829973	0.0	0.0	0.0	0.0	0.0
SNORA38B	SNORA38B	17	+	67740670	67740801	0.000000	0.000000	1.960003	0.000000	0.000000
MIR1306	MIR1306	22	+	20086058	20086142	0.923838	1.351427	1.392573	0.985235	0.937919
CEP76	CEP76	18	-	12661956	12702777	11.592919	9.304361	9.036274	8.638164	11.150363
SLC25A48	SLC25A48	5	+	135579165	135888637	5.327085	2.319520	11.652650	6.147096	4.241014
LINC00634	LINC00634	22	+	41952187	41958942	10.726772	6.887333	8.591334	7.174492	5.189187
HEY2	HEY2	6	+	125749632	125761269	17.130524	18.725555	13.208786	18.354641	17.921562
HOMER1	HOMER1	5	-	79373824	79513836	12.296195	18.909399	16.360752	16.068720	16.122206
MIR7975	MIR7975	19	-	55123225	55123292	0.0	0.0	0.0	0.0	0.0
LOC100130207	LOC100130207	3	-	3700814	3800875	0.000000	0.000000	0.000000	0.602211	1.079320
RASGRF2	RASGRF2	5	+	80960689	81230162	4.946543	8.572262	4.384772	4.800093	6.755867
GLT8D1	GLT8D1	3	-	52694484	52706083	11.274874	14.642423	14.484723	16.629837	14.379864
NEUROG3	NEUROG3	10	-	69572035	69573454	0.0	0.0	0.0	0.0	0.0
LOC101929353	LOC101929353	4	+	100190033	100215505	0.000000	0.0	0.000000	0.000000	0.000000
MFN2	MFN2	1	+	11980181	12013515	36.142685	26.169212	34.407993	45.775723	38.513859
MIR324	MIR324	17	-	7223297	7223379	6.761050	0.000000	13.400523	1.478636	5.401651
MAP6	MAP6	11	-	75586918	75668434	0.000000	0.364860	0.187780	0.266796	0.490043
PCAT1	PCAT1	8	+	127013154	127021014	0.0	0.0	0.190999	0.0	0.0
RGPD3	RGPD3	2	-	106404680	106468345	1.377243	0.251961	1.049378	1.557054	1.566457
CXCL10	CXCL10	4	-	76021118	76023497	0.0	0.0	0.000000	0.000000	0.000000
PRSS16	PRSS16	6	+	27247723	27256620	8.505331	4.990261	6.717891	11.609635	9.839462
UAP1	UAP1	1	+	162561440	162599843	28.250547	22.695166	35.668819	32.902454	23.794989
RPL22	RPL22	1	-	6185020	6199619	127.517212	199.101791	142.325333	142.625320	122.558502
LOC105375512	LOC105375512	7	-	133099071	133108511	0.0	0.0	0.0	0.0	0.0
PTPMT1	PTPMT1	11	+	47565430	47573461	157.837997	89.029144	171.416412	180.976456	139.508698
ATP6V1B2	ATP6V1B2	8	+	20197193	20221696	40.461887	34.578140	42.259480	49.916328	39.895409
MX1	MX1	21	+	41420558	41459214	0.000000	0.0	0.359710	0.097018	0.620089
BRWD1-AS1	BRWD1-AS1	21	+	39315707	39323218	0.000000	0.0	0.000000	0.0	0.000000
BEND5	BEND5	1	-	48727519	48776969	0.0	0.0	0.000000	0.0	0.0
SEPT12	SEPT12	16	-	4777614	4788521	0.954205	0.000000	1.933902	0.000000	2.361661
LTA4H	LTA4H	12	-	96000753	96043520	18.759880	25.865475	23.260708	31.437469	25.816860
MIR548AY	MIR548AY	3	-	32506283	32506389	0.0	0.913275	0.0	0.0	0.0
NRXN3	NRXN3	14	+	78170373	79868291	0.360743	0.484123	0.415420	0.213525	0.185949
INS-IGF2	INS-IGF2	11	-	2129112	2161209	0.000000	0.000000	0.000000	0.000000	0.000000
OR5T2	OR5T2	11	-	56232106	56233185	0.0	0.0	0.0	0.0	0.0
CWC15	CWC15	11	-	94962622	94973612	61.733505	84.673904	51.787804	62.068436	76.371788
CNR1	CNR1	6	-	88139866	88165996	0.141017	0.0	0.125713	0.633631	0.099962
LOC100508046	LOC100508046	14	-	18976750	18980793	0.000000	0.000000	0.000000	0.000000	0.000000
SNORD82	SNORD82	2	-	231460368	231460442	0.000000	0.000000	0.000000	0.000000	0.000000
FARSA-AS1	FARSA-AS1	19	+	12930522	12933296	0.000000	0.000000	0.000000	0.000000	0.000000
SLC9A3R1	SLC9A3R1	17	+	74748612	74769360	34.813793	63.747173	27.351383	34.269794	40.643322
CCDC112	CCDC112	5	-	115267188	115296761	25.194044	42.426727	36.010670	39.995605	39.497417
HSPB2-C11orf52	HSPB2-C11orf52	11	+	111912736	111926871	3.574995	0.000000	0.602142	0.372928	3.965676
PIFO	PIFO	1	+	111346560	111353017	0.000000	0.0	0.948804	0.425659	0.0
DNAJC12	DNAJC12	10	-	67796669	67838179	18.137241	31.172819	20.260305	23.888550	30.138683
ANTXRL	ANTXRL	10	+	46286997	46330207	0.000000	0.000000	0.000000	0.000000	0.000000
HPCAL4	HPCAL4	1	-	39678648	39691485	1.926558	0.642131	1.637939	2.529043	1.626135
STT3A-AS1	STT3A-AS1	11	-	125570290	125592568	0.000000	3.731071	0.000000	0.000000	0.000000
ARMCX5	ARMCX5	X	+	102599168	102604157	21.695375	23.199471	19.570276	29.160795	22.320246
FLNC	FLNC	7	+	128830429	128859274	22.153994	21.697559	21.036373	28.826862	21.186712
LOC101927960	LOC101927960	2	+	208542642	208825587	0.0	0.0	0.0	0.0	0.0
HSFX1	HSFX1	X	+	149774068	149776859	0.000000	0.000000	0.000000	0.000000	1.489794
PKP4	PKP4	2	+	158456880	158681428	36.174927	41.581089	33.083797	41.116356	41.049686
OR51S1	OR51S1	11	-	4848237	4849208	0.0	0.0	0.0	0.0	0.0
EPB41L4A-DT	EPB41L4A-DT	5	+	112419583	112420981	3.636209	0.461867	2.943506	1.307098	2.755692
LOC112268068	LOC112268068	10	-	58325629	58329679	0.000000	0.000000	0.106443	0.0	0.089978
LINC01732	LINC01732	1	+	181174484	181182206	0.0	0.000000	0.000000	0.979336	1.192505
TCP11X2	TCP11X2	X	+	102215301	102471812	0.0	0.0	0.0	0	0.0
MIR6879	MIR6879	11	+	65018505	65018570	0.016289	0.030218	0.076863	4.479699	0.000000
VPS37B	VPS37B	12	-	122865328	122896165	64.106415	50.637951	59.590511	63.907124	67.879417
TBL1X	TBL1X	X	+	9463295	9719740	29.604013	19.302954	25.741829	33.464054	29.240034
CLN5	CLN5	13	+	76992081	77002517	10.120937	13.867312	14.579681	12.994110	10.605742
MIR6724-1	MIR6724-1	21	+	8432530	8432621	0.008612	0.000000	0.006577	0.021541	3.586119
LINC02324	LINC02324	14	-	65212893	65222347	0.0	0.0	0.0	0.0	0.0
LOC401176	LOC401176	5	+	16180241	16187061	0.0	0.0	0.0	0.100152	0.0
HSD11B2	HSD11B2	16	+	67431121	67437551	3.998756	5.475358	6.438945	5.180282	8.313230
SMN1	SMN1	5	+	70049523	70077591	19.416256	0	0	0	0
SLIT1-AS1	SLIT1-AS1	10	+	97102756	97103747	0.000000	0.000000	0.627423	0.000000	0.000000
GLIS2-AS1	GLIS2-AS1	16	-	4324648	4328340	0.000000	0.000000	0.000000	0.000000	2.876754
TMEM242	TMEM242	6	-	157289022	157324259	12.276494	10.079749	11.124426	10.437343	11.410018
LINC02444	LINC02444	12	+	73159190	73208317	0.000000	0.0	0.000000	0.000000	1.524250
RNA5S11	RNA5S11	1	-	228610266	228630508	0.0	0.0	0.0	0.0	0.0
DGAT2L6	DGAT2L6	X	+	70177483	70205703	0.000000	0.0	0.0	0.0	0.000000
MIR135A1	MIR135A1	3	-	52294219	52294308	0.000000	0.000000	0.000000	0.000000	0.000000
OR51B5	OR51B5	11	-	5340883	5505652	0.0	0.0	0.0	0.0	0.0
LOC100507472	LOC100507472	15	-	101307251	101309304	0.825437	0.265389	2.222592	2.513357	0.650973
ZDHHC15	ZDHHC15	X	-	75368427	75523502	0.081833	0.0	0.0	0.000000	0.034181
CCDC97	CCDC97	19	+	41310163	41324883	120.137070	148.589050	122.135101	137.555710	132.204819
DTNA	DTNA	18	+	34493290	34891844	25.717258	32.847206	35.587322	40.368835	36.694031
AMELX	AMELX	X	+	11293413	11300761	0.000000	0.000000	0.000000	0.000000	0.000000
C18orf21	C18orf21	18	+	35972625	35979287	161.696075	138.535248	173.938049	167.131027	168.616623
MIR6883	MIR6883	17	-	8144994	8145071	0.000000	0.000000	0.000000	2.631904	0.000000
LINC00574	LINC00574	6	+	169790073	169802873	9.371975	7.786044	3.829682	10.182455	13.851821
SELL	SELL	1	-	169690665	169711620	0.0	0.0	0.373496	0.280803	0.000000
TPRX1	TPRX1	19	-	47801243	47803604	0.0	0.0	0.0	0.0	0.0
DHTKD1	DHTKD1	10	+	12068917	12123228	26.133791	29.444988	29.175152	35.134026	36.410690
LOC101926968	LOC101926968	3	+	118641768	118644157	0.0	0.0	0.0	0.0	0.0
HRAT92	HRAT92	7	+	520391	525232	0.137982	0.000000	0.000000	0.000000	0.652692
XG	XG	X	+	2752052	2816501	0.000000	0.0	0.0	0.0	0.000000
MIR2117	MIR2117	17	+	43444806	43444885	0.0	0.0	0.0	0.0	0.0
LOC101927815	LOC101927815	8	-	2530092	2728451	0.0	0.0	0.0	0.0	0.0
FAM13A-AS1	FAM13A-AS1	4	+	88709789	88730103	0.828958	0.000000	1.583572	1.513774	0.818533
LINC02520	LINC02520	6	+	37507348	37536280	0.0	0.0	0.0	0.0	0.0
NAALAD2	NAALAD2	11	+	90134650	90192894	0.960704	2.795185	4.085917	1.467582	2.052624
ADRB3	ADRB3	8	-	37962990	37966599	0.0	0.0	0.0	0.0	0.0
GSN-AS1	GSN-AS1	9	-	121280768	121285530	0.408075	0.679979	0.717594	1.091251	1.363214
EIF4G3	EIF4G3	1	-	20806292	21176888	179.821167	222.872437	201.453262	197.454391	272.117188
MIR103A2	MIR103A2	20	+	3917494	3917571	0.482387	0.000000	0.000000	4.233933	0.000000
OR1M1	OR1M1	19	+	9093245	9094186	0.0	0.0	0.029620	0.0	0.0
CLDN23	CLDN23	8	+	8702156	8704107	0.0	1.240303	0.454798	0.0	0.136937
ITGB4	ITGB4	17	+	75721328	75757818	2.196607	1.712197	1.890832	1.650346	1.987493
PTF1A	PTF1A	10	+	23192531	23194252	8.732526	4.084338	7.434358	4.456099	7.475975
SIRT7	SIRT7	17	-	81911939	81918182	28.305635	24.204002	26.039724	17.286072	31.778967
DEDD	DEDD	1	-	161120978	161132688	19.988232	17.355825	28.716949	22.312855	18.754908
TMEM135	TMEM135	11	+	87037844	87328834	2.639573	1.291898	3.141463	2.841749	4.018125
TMED9	TMED9	5	+	177592148	177597242	84.514282	50.476112	62.418594	74.161125	62.673443
FRG1CP	FRG1CP	20	-	28580633	28602665	0.000000	0.000000	0.000000	0.0	0.000000
MIR646HG	MIR646HG	20	+	60138492	60322256	0.978881	1.000368	1.204917	0.335242	1.037186
FBXL16	FBXL16	16	-	692500	705801	7.118619	5.144701	6.982688	6.600733	7.308341
RACK1	RACK1	5	-	181236928	181243906	6527.845215	4121.151367	6310.976562	6293.814941	5552.746094
TMEM161B-AS1	TMEM161B-AS1	5	+	88268882	88436674	9.243106	1.179673	6.927127	6.785946	10.573079
XAGE3	XAGE3	X	-	52862529	52868088	0.0	0.0	0.0	0.0	0.0
DDX56	DDX56	7	-	44565417	44574538	78.337616	80.761963	75.294037	74.131981	59.807037
TBC1D3L	TBC1D3L	17	-	37978155	37989062	0.000000	0.000000	0.000000	0.000000	0.000000
MROH7-TTC4	MROH7-TTC4	1	+	54641740	54742655	0.079020	0.000000	0.807018	0.087689	0.484356
KRT6A	KRT6A	12	-	52487176	52493257	0.0	0.000000	0.0	0.0	0.0
HEYL	HEYL	1	-	39623431	39639676	9.068062	8.623358	7.942354	11.471030	11.731271
KBTBD6	KBTBD6	13	-	41127573	41132800	16.415537	10.329094	19.609392	21.386925	23.315880
RANBP6	RANBP6	9	-	6011019	6015640	12.738084	6.253698	12.027285	12.599385	13.074216
LAMB2	LAMB2	3	-	49121114	49133166	33.885189	44.100586	24.283194	26.891159	33.453445
AP4E1	AP4E1	15	+	50908672	51005900	4.760893	3.488603	5.049498	5.117652	6.313211
ZMAT3	ZMAT3	3	-	179017225	179071868	16.649437	14.633798	17.895588	18.417664	21.691788
LINC02008	LINC02008	3	+	81986142	82463675	0.0	0.0	0.0	0.0	0.0
ERCC8	ERCC8	5	-	60873832	60945078	19.812632	17.003159	25.492498	20.605289	24.512661
SNORD14D	SNORD14D	11	-	123058909	123058995	0.000000	0.000000	0.000000	3.129086	0.000000
KRT34	KRT34	17	-	41377669	41382384	0.0	0.0	0.0	0.0	0.0
SNORD13B-1	SNORD13B-1	5	+	71088632	71088735	0.000000	0.000000	0.402422	0.107279	0.000000
RBM10	RBM10	X	+	47145218	47186815	161.252731	170.326157	147.647980	141.683395	174.223251
YEATS2-AS1	YEATS2-AS1	3	-	183807064	183810451	0.492305	6.289793	2.759471	4.274206	5.287939
KANSL1-AS1	KANSL1-AS1	17	+	46193573	46196723	9.607334	7.442309	17.150347	4.710727	5.032263
CREBBP	CREBBP	16	-	3725055	3880120	226.710556	300.270142	236.968399	183.946884	268.091461
SMCHD1	SMCHD1	18	+	2655887	2805017	34.916389	36.880585	43.565105	44.623989	49.618919
OR5I1	OR5I1	11	-	55935456	55936400	0.0	0.0	0.0	0.0	0.0
RSPRY1	RSPRY1	16	+	57186284	57240475	35.646042	26.641573	43.374054	57.624928	42.301079
RNF43	RNF43	17	-	58352500	58417582	5.173921	6.452746	7.233097	10.313810	5.884619
LINC00927	LINC00927	15	-	80263068	80341805	0.0	0.0	0.0	0.000000	0.0
CFAP36	CFAP36	2	+	55519595	55545080	39.566502	53.817955	46.848839	69.974251	65.959473
LINC01822	LINC01822	2	-	21687434	21710652	0.0	0.0	0.0	0.0	0.0
LDLRAD1	LDLRAD1	1	-	54007298	54018186	0.000000	0.0	0.0	0.0	0.0
GNAI1	GNAI1	7	+	80134824	80219409	5.498065	5.862070	9.358501	6.905696	4.158410
ALOX12B	ALOX12B	17	-	8072636	8087716	0.422435	0.000000	0.383562	0.000000	0.262998
CXorf51B	CXorf51B	X	-	146814104	146814731	0	0	0.000000	0	0
EP300	EP300	22	+	41092610	41180077	183.264008	206.283585	199.135864	206.744690	247.432373
OR8H1	OR8H1	11	-	56290127	56291062	0.0	0.0	0.0	0.0	0.0
LINC02099	LINC02099	8	+	29748309	29798492	0.0	0.0	0.0	0.0	0.0
HS3ST4	HS3ST4	16	+	25691959	26137685	0.0	0.0	0.0	0.0	0.0
CNKSR1	CNKSR1	1	+	26177490	26189884	16.940554	6.924532	21.615118	14.368125	19.305735
CENPN	CENPN	16	+	81006498	81033104	43.546158	40.647110	46.850563	52.011852	58.140579
BTBD10	BTBD10	11	-	13387996	13463297	4.480212	3.598463	9.271232	7.053204	7.220887
TFCP2L1	TFCP2L1	2	-	121216588	121285202	8.711403	10.337536	10.252285	12.725644	13.008252
GATD3B	GATD3B	21	-	5116329	5128369	0.000000	0.000000	0.000000	0.000000	0.000000
UBE2Q2	UBE2Q2	15	+	75843286	75901047	22.071268	21.872801	20.858770	18.494215	19.508417
MIR5692A1	MIR5692A1	7	+	97963658	97963726	2.747430	6.474013	0.000000	0.537564	3.307781
UBE2B	UBE2B	5	+	134371176	134392108	23.947235	26.026901	29.076750	29.789656	30.928207
PRY2	PRY2	Y	-	22071756	22514637	0.0	0.0	0.0	0.0	0.0
DRG2	DRG2	17	+	18087867	18107985	53.901222	44.643425	50.364056	52.007912	54.437176
POM121	POM121	7	+	72879335	72951440	148.354080	190.381592	145.671692	148.407181	199.804764
HRC	HRC	19	-	49151199	49155424	1.740146	0.000000	0.324506	2.127827	0.343649
OR4F16	OR4F16	1	-	685716	686654	0.162572	0.0	0.784712	0.152086	1.295876
MIR4773-2	MIR4773-2	2	-	151368334	151368411	0.0	0.0	0.0	0.0	0.000000
MIR3184	MIR3184	17	-	30117086	30117160	0.000000	0.000000	0.000000	0.000000	0.000000
KIF9-AS1	KIF9-AS1	3	+	47164370	47244116	6.559809	4.559397	7.450679	5.159414	4.884194
CIAO1	CIAO1	2	+	96266146	96274162	143.868912	144.775085	145.168610	146.384964	167.158539
CXADR	CXADR	21	+	17512906	17593579	34.425846	64.971436	39.409809	52.798355	47.998501
FBXL14	FBXL14	12	-	1565993	1594581	16.277191	19.426811	14.148340	18.134184	17.275482
TMEM175	TMEM175	4	+	932387	958655	99.467117	109.626808	93.122284	86.258148	109.034615
TEX12	TEX12	11	+	112167372	112172556	0.000000	0.000000	0.760498	0.000000	0.000000
SDSL	SDSL	12	+	113422390	113438276	38.909145	39.985382	22.837200	29.179474	27.988825
MIR194-1	MIR194-1	1	-	220118157	220118241	0.000000	0.000000	0.000000	0.000000	0.000000
PPIAL4E	PPIAL4E	1	+	144592868	144593652	0	0	0	0.000000	0
FAM129C	FAM129C	19	+	17523301	17553839	0.297049	0.000000	0.000000	0.485057	0.000000
EGLN3	EGLN3	14	-	33924215	33951078	0.766978	0.640342	1.032377	2.007555	1.680297
MIR1287	MIR1287	10	-	98395218	98395307	0.764468	0.339768	0.000000	1.735531	0.000000
RIOK3	RIOK3	18	+	23453221	23483140	43.636784	35.304379	49.467831	43.203892	46.953819
TRAK2	TRAK2	2	-	201377207	201451596	7.181327	5.548092	5.874458	8.114583	6.670430
TMC7	TMC7	16	+	18983934	19063940	7.118586	7.136017	12.740399	11.506752	7.754262
CABYR	CABYR	18	+	24138956	24161600	19.500111	39.102421	18.785189	25.745546	28.843054
CAD	CAD	2	+	27217390	27243792	73.807426	83.754478	71.400948	82.744415	93.516251
SMAD7	SMAD7	18	-	48919853	48950711	4.035435	4.859437	3.357725	2.717866	3.632365
EXOC3L2	EXOC3L2	19	-	45212377	45234211	0.990878	0.000000	0.000000	0.000000	0.000000
AXIN1	AXIN1	16	-	287440	352676	47.373463	57.738804	49.380119	51.469692	54.795544
DOCK5	DOCK5	8	+	25184723	25415716	10.318441	5.940915	7.839830	10.026071	7.410225
SNRNP35	SNRNP35	12	+	123458104	123472362	4.970246	3.871276	4.498933	6.133986	4.405153
MIR4281	MIR4281	5	-	176629439	176629500	0.000000	0.000000	0.000000	0.000000	0.000000
PDE2A	PDE2A	11	-	72576140	72674453	0.188305	0.269387	0.479364	0.981577	2.125177
SH3GL2	SH3GL2	9	+	17578954	17797128	1.364540	1.662276	0.441771	2.300388	3.627678
PDE7B	PDE7B	6	+	135851696	136195571	0.458990	0.221383	0.420940	0.000000	0.0
STX8	STX8	17	-	9250471	9575958	43.300056	31.383352	39.464691	43.545464	40.573399
POPDC2	POPDC2	3	-	119642052	119660590	1.123042	1.014621	0.000000	0.378417	0.000000
MIR4763	MIR4763	22	+	46113566	46113657	0.000000	0.000000	0.000000	0.000000	0.000000
SNORD10	SNORD10	17	+	7576811	7576958	17.926901	13.771411	13.804926	13.478844	53.640850
RP9P	RP9P	7	-	32916815	32943170	48.304729	55.903061	65.033546	45.977177	66.465591
LOC105371328	LOC105371328	16	+	70188322	70189252	0.000000	0.000000	0.0	2.187633	2.444183
CYB5R1	CYB5R1	1	-	202961873	202967276	40.277416	28.125841	39.563885	39.269547	50.109222
XKR3	XKR3	22	-	16783416	16821699	0.0	0.000000	0.0	0.0	0.0
LY6E-DT	LY6E-DT	8	-	142982031	143018390	1.962621	0.000000	1.023180	4.643322	3.073861
SLC16A13	SLC16A13	17	+	7036075	7040121	4.088570	3.924697	3.567459	2.052043	0.370348
LTB4R2	LTB4R2	14	+	24310151	24312053	8.646755	4.399872	9.037792	8.548055	2.401972
ARHGEF38-IT1	ARHGEF38-IT1	4	+	105561591	105570235	0.000000	0.000000	0.0	0.000000	0.000000
TAPBPL	TAPBPL	12	+	6451674	6462322	2.261000	0.000000	1.207569	1.660304	2.362542
TWISTNB	TWISTNB	7	-	19695462	19709037	65.663605	80.567535	67.233810	63.665905	79.936562
IL18BP	IL18BP	11	+	71998912	72002919	21.697128	21.359720	18.514469	24.109604	26.579636
SPTLC2	SPTLC2	14	-	77505997	77616767	10.365429	9.414951	9.242406	12.482866	9.630525
TFAP2A-AS2	TFAP2A-AS2	6	+	10404502	10407927	0.777877	1.410650	1.243086	1.966407	0.611404
MIR6069	MIR6069	22	-	35336721	35336799	0.000000	0.000000	0.000000	0.000000	0.000000
FLI1	FLI1	11	+	128686535	128813267	0.325462	0.000000	0.515603	0.500882	0.269221
TBC1D24	TBC1D24	16	+	2475146	2505733	10.641767	11.579000	10.979853	13.578036	14.721372
LINC02313	LINC02313	14	+	31944853	31950294	0.000000	0.0	0.0	0.0	0.000000
LINC00210	LINC00210	1	+	217892900	217920804	0.0	0.0	0.0	0.0	0.0
LINC01945	LINC01945	2	-	131983786	132037900	0.0	0.0	0.000000	0.0	0.0
DPYSL5	DPYSL5	2	+	26848101	26950351	42.793598	30.753248	40.077942	49.788982	51.613129
ARRDC3-AS1	ARRDC3-AS1	5	+	91380347	91420715	1.961441	0.948706	4.145846	2.588959	1.185869
VNN3	VNN3	6	-	132722787	132734765	0.0	0.0	0.0	0.0	0.0
LINC01033	LINC01033	5	+	54320944	54415125	4.796300	8.362089	1.958228	4.141653	5.492103
MCTS1	MCTS1	X	+	120603889	120621161	24.671762	16.830215	25.435699	23.691767	26.079737
MIR378B	MIR378B	3	+	10330229	10330285	0.000000	0.0	0.000000	0.000000	0.000000
FMO3	FMO3	1	+	171090877	171117819	0.000000	0.0	0.000000	0.191574	0.029864
NDUFV2-AS1	NDUFV2-AS1	18	-	9121265	9136720	0.919709	0.000000	0.000000	3.352098	1.972410
IFNLR1	IFNLR1	1	-	24154157	24187275	11.268291	8.213187	14.319183	13.480319	11.873665
LINC01849	LINC01849	2	+	100603739	100609358	0.0	0.0	0.0	0.0	0.000000
LOC102724951	LOC102724951	21	+	7430637	7469008	0.000000	0.000000	0.000000	0.000000	0.000000
C2orf80	C2orf80	2	-	208165347	208190030	0.0	0.0	0.0	0.0	0.0
MYRFL	MYRFL	12	+	69825323	69958725	0.192590	0.000000	0.000000	0.000000	0.342939
NEU3	NEU3	11	+	74988933	75010907	8.412237	5.541531	9.949956	12.627773	8.754433
TMEM71	TMEM71	8	-	132709946	132760668	0.0	0.0	0.0	0.000000	0.0
NCR3	NCR3	6	-	31588883	31592985	0.000000	0.0	0.000000	0.000000	0.000000
LOC100129878	LOC100129878	18	+	49023703	49048473	0.717150	0.000000	0.541196	0.000000	0.483555
HPN	HPN	19	+	35040506	35066573	0.339101	0.000000	0.168112	0.000000	0.000000
ENTPD7	ENTPD7	10	+	99659377	99711245	7.723954	2.771790	4.624571	5.386829	8.765635
GOLGA7B	GOLGA7B	10	+	97849843	97871578	0.257330	0.585786	0.571569	0.551083	0.317468
CEP41	CEP41	7	-	130393771	130441210	12.618752	8.001258	11.668291	13.840906	13.055143
THAP11	THAP11	16	+	67842310	67844195	39.737457	54.759506	50.132999	47.778042	26.032427
MIR924	MIR924	18	-	39622123	39622175	1.257585	0.000000	0.000000	7.125735	0.000000
MGC16025	MGC16025	2	-	239193331	239195457	1.871073	0.811969	0.398299	0.429074	0.285615
RNVU1-4	RNVU1-4	1	+	120942600	120942763	0.000000	0.000000	0.000000	0.000000	0.014727
LOC105372440	LOC105372440	19	-	50776146	50786210	21.822746	0.000000	8.969563	14.901653	6.202378
CXADRP2	CXADRP2	15	-	21371511	21373968	0.493343	0.072209	0.615027	0.194271	0.166088
STYK1	STYK1	12	-	10618923	10674052	2.178775	0.815423	2.822982	0.918810	5.193699
PIH1D2	PIH1D2	11	-	112064010	112074171	4.302761	7.113978	3.007997	5.732317	1.407462
UPRT	UPRT	X	+	75156369	75304897	1.582946	5.155988	5.853571	4.555619	4.376606
ZNF451	ZNF451	6	+	57090010	57170300	23.800133	20.154394	26.114340	31.904524	28.606783
ZC3H12D	ZC3H12D	6	-	149447630	149485012	0.432115	0.000000	0.0	0.000000	0.510785
WDR37	WDR37	10	+	1056836	1132297	10.667309	8.990110	12.601778	12.675070	9.413351
NIPBL	NIPBL	5	+	36876759	37065819	47.042545	55.020977	52.983776	59.045403	49.940639
SLC8B1	SLC8B1	12	-	113298766	113335168	3.950915	3.414405	2.406391	1.920178	3.425745
CCDC84	CCDC84	11	+	118998133	119015792	121.265862	122.494728	124.037064	95.366943	151.962967
TMEM72	TMEM72	10	+	44911316	44937010	0.0	0.000000	0.0	0.0	0.000000
LINC01987	LINC01987	17	-	77722872	77728559	0.0	0.0	0.0	0.0	0.0
LRRC63	LRRC63	13	+	46211928	46277115	0.000000	0.000000	0.000000	0.000000	0.543044
ARMC2-AS1	ARMC2-AS1	6	-	108908140	108924103	0.000000	0.000000	0.000000	0.000000	0.000000
TBR1	TBR1	2	+	161416094	161425867	0.183287	0.000000	0.327706	0.314641	0.411180
CCDC163	CCDC163	1	-	45493863	45500079	11.283559	6.822068	14.742113	15.521125	11.691162
GPD1L	GPD1L	3	+	32106511	32168715	3.197839	3.384704	2.746597	3.610226	1.136250
WASIR1	WASIR1	Y	-	57201084	57203350	1.980833	3.113755	3.059840	0.000000	3.463246
LOC100506178	LOC100506178	7	+	22563337	22573998	0.0	0.0	0.0	0.0	0.0
PLCL2	PLCL2	3	+	16884959	17090606	9.468251	7.130014	12.464335	10.762376	9.085227
LINC00668	LINC00668	18	-	6925474	6929869	0.0	0.0	0.0	0.0	0.0
VAMP1	VAMP1	12	-	6462238	6470899	3.339275	7.695383	4.019777	2.194399	1.987374
KCNC1	KCNC1	11	+	17735948	17783055	14.195514	10.389066	13.258497	16.160131	20.894468
PATE1	PATE1	11	+	125746293	125749848	0.0	0.000000	0.0	0.0	0.0
ARSJ	ARSJ	4	-	113900284	113979722	0.707075	0.671870	0.547942	0.752058	0.350376
MIR92A2	MIR92A2	X	-	134169538	134169612	0.0	0.0	0.0	0.0	0.0
ARLNC1	ARLNC1	16	-	80828735	80892596	0.831691	0.0	0.569701	0.000000	0.387989
LOC401021	LOC401021	2	+	176136612	176140391	0.000000	0.671102	0.000000	0.335398	0.224467
MIR4518	MIR4518	16	+	30503919	30504001	0.000000	0.000000	0.000000	0.000000	0.000000
MBTPS1	MBTPS1	16	-	84053761	84116943	25.042150	24.729702	27.620863	28.984344	21.838575
MIR4710	MIR4710	14	-	104677694	104677749	0.0	0.0	0.0	0.0	0.000000
GALR1	GALR1	18	+	77250052	77270140	0.0	0.0	0.0	0.0	0.0
ATP13A4-AS1	ATP13A4-AS1	3	+	193553213	193555584	1.497865	0.000000	0.000000	0.000000	0.000000
KMT2B	KMT2B	19	+	35718019	35738880	91.490601	112.551735	87.187195	99.856979	117.889809
STMP1	STMP1	7	+	135662473	135676412	69.131340	94.500633	74.661964	68.577492	58.001678
OR2V2	OR2V2	5	+	181154943	181155890	0.0	0.0	0.0	0.0	0.0
PLAA	PLAA	9	-	26903370	26947473	9.517325	8.383363	10.765724	12.608517	8.179952
RNF168	RNF168	3	-	196468786	196503768	21.554371	22.914230	23.604410	27.058611	24.783476
KCCAT333	KCCAT333	7	+	17374917	17467256	0.0	0.0	0.0	0.0	0.0
WDR88	WDR88	19	+	33132092	33175797	0.764553	0.000000	0.072258	0.180990	0.981124
ZNF479	ZNF479	7	-	57119619	57139864	0.0	0.0	0.0	0.0	0.0
OGDH	OGDH	7	+	44606522	44709070	26.819742	26.312529	27.479885	25.159283	32.584816
SMYD5	SMYD5	2	+	73214238	73227227	19.560198	17.939714	21.788519	24.381075	21.981726
LOC105374042	LOC105374042	3	+	112302478	112332751	0.000000	0.0	0.000000	0.626987	0.000000
KRT37	KRT37	17	-	41420557	41424570	0.000000	0.0	0.0	0.0	0.0
SNORD113-6	SNORD113-6	14	+	100939556	100939629	0.000000	0.0	0.000000	0.0	0.0
